lat,lng
string,string
43.7674308,-79.28069440000002
43.8328136,-79.0667565
43.65267069999999,-79.3976386
43.5771023,-79.64444450000002
43.84126740000001,-79.39899029999998
43.8617054,-79.43342109999998
43.8252349,-79.29835860000003
45.57185200000001,-73.6029489
45.9309778,-66.63000440000002
43.6508006,-79.4759474
43.7656213,-79.46679010000003
43.79608229999999,-79.43390679999999
43.6227192,-79.6008564
43.2304053,-79.77281119999998
45.3634443,-75.78749370000003
45.4325275,-75.60982580000001
45.4203111,-75.70248670000001
43.7122041,-79.3998302
43.6563911,-79.38195089999999
43.6429251,-79.3741862
43.7802809,-79.4153665
43.8541102,-79.33713829999999
43.7554321,-79.75827809999998
49.4975783,-119.59164629999998
50.7025641,-119.2815177
53.9138995,-122.75268779999999
49.1815785,-123.97872940000002
49.2228804,-123.94833160000002
52.977683,-122.49635669999998
48.4309331,-123.4006276
49.2590887,-124.81006150000002
49.8771401,-119.45857990000002
52.1302963,-122.14381229999998
56.2399819,-120.8395145
50.026159,-125.244933
43.8615493,-79.01885060000001
44.1866502,-77.39584709999997
43.1410549,-80.27059270000001
43.1752198,-80.2780727
43.35445319999999,-80.28879369999999
43.4019308,-80.32812799999999
43.7292739,-79.57395259999998
43.5680705,-80.25803150000002
44.2365024,-76.56936730000001
44.23393249999999,-76.49299730000001
42.9595597,-81.232192
43.02059999999999,-81.21479999999997
42.9890035,-81.2320264
42.9719876,-81.2624659
43.0009392,-81.1907036
43.5791722,-79.61428339999998
43.60947729999999,-79.58654769999998
43.5824949,-79.61459230000003
43.622464,-79.60133769999999
46.2950634,-79.4552726
46.3182956,-79.44483000000002
43.9187549,-80.097576
43.8993736,-78.86461759999997
43.929355,-78.87787249999997
43.8944577,-78.87563929999999
45.826905,-77.09343769999998
42.9793849,-82.35989519999998
43.171128,-79.2655509
43.163414,-79.24554699999999
46.492785,-80.99522250000001
43.6889942,-79.29708449999998
43.669144,-79.33916269999997
43.6672049,-79.4875255
43.774477,-79.23786330000001
43.7565004,-79.41018099999997
43.6640805,-79.38408349999997
43.6967127,-79.4464418
43.6818805,-79.32941449999998
43.8871365,-78.9037788
44.00676139999999,-79.46878479999998
43.91199350000001,-78.67431049999999
44.6013087,-75.7025625
42.4164209,-82.20092499999998
42.9049306,-78.93023360000001
43.2525924,-79.85481670000001
43.2584237,-79.8692337
43.2274522,-79.88318900000002
43.2508419,-79.81503559999999
43.2299158,-79.77146900000002
43.4405729,-80.46908930000001
43.423008,-80.44393300000002
43.4359983,-80.51341209999998
43.8709048,-79.26800930000002
44.0564027,-79.47646980000002
43.7671052,-79.47065220000002
43.697796,-79.5026661
44.610555,-79.41522499999996
45.3834472,-75.672102
45.36688669999999,-75.78751549999998
45.4273797,-75.6396049
45.34916,-75.73336819999997
45.4134938,-75.6949181
45.4274977,-75.68978179999999
44.2840946,-78.33784830000002
44.304482,-78.320155
46.52992380000001,-84.31890850000002
42.77914639999999,-81.18331920000003
48.436065,-89.22336100000001
48.409176,-89.24492859999998
44.1040381,-77.5584043
42.3166624,-83.02877389999998
42.2836596,-83.0108123
42.31320729999999,-82.93380969999998
42.2918033,-83.05430209999997
44.40469,-79.7027281
44.35498270000001,-79.64578070000005
43.6963027,-79.74922379999998
43.6577117,-79.7238767
43.7077446,-79.78567429999998
43.7426366,-79.69874859999999
43.70021269999999,-79.7437238
43.3533824,-79.78593699999999
43.3236305,-79.83138129999998
45.0279536,-74.73378630000002
43.650043,-79.90680750000001
45.299159,-75.8858098
44.3513362,-78.75804949999997
43.5255377,-79.88831219999997
43.0899505,-79.09724779999999
43.44537080000001,-79.6878213
45.4666162,-75.53390250000001
44.5733365,-80.92620490000002
43.8204195,-79.11441030000003
43.7270068,-79.28822509999998
43.75399110000001,-79.27717619999999
43.7761177,-79.31789090000001
43.7397922,-79.23606610000002
43.76106559999999,-79.22528950000003
43.76841659999999,-79.19030650000002
43.7356199,-79.25053939999998
43.7461953,-79.29351259999999
43.75399110000001,-79.27717619999999
43.3712762,-80.95742389999998
48.474643,-81.365341
43.0031272,-79.27058970000002
43.130519,-80.75270239999998
49.2813752,-123.04451240000003
49.16741039999999,-122.84629769999998
43.6661457,-79.38524899999999
43.6980288,-79.50283630000001
43.7269641,-79.48036350000001
43.7730288,-79.32144919999996
43.7677116,-79.27079370000001
43.6980288,-79.50283630000001
43.696267,-79.7746219
43.7383448,-79.70286900000002
43.7027599,-79.74093540000001
43.6339107,-79.68770159999997
43.5800109,-79.6155339
43.581531,-79.61533500000002
43.2276166,-79.8814223
43.18285729999999,-79.25277249999999
43.18285729999999,-79.25277249999999
